popularity,release_date,release_year,title,vote_average,vote_count
0.700489,2016-02-11,2016-02-11,Punk's Dead: SLC Punk 2,6.0,3.0
17.836882,2015-07-23,2015-07-23,Mission: Impossible - Rogue Nation,7.1,3274.0
0.043929,2016-07-15,2016-07-15,Sound of Redemption: The Frank Morgan Story,0.0,0.0
21.463465,2015-02-04,2015-02-04,Jupiter Ascending,5.2,2816.0
14.14078,2015-01-21,2015-01-21,Ex Machina,7.6,4862.0
4.580804,2015-02-20,2015-02-20,"Kumiko, the Treasure Hunter",6.4,104.0
11.696923,2015-11-20,2015-11-20,In the Heart of the Sea,6.5,1300.0
32.790475,2015-06-09,2015-06-09,Jurassic World,6.5,8842.0
41.225769,2015-09-09,2015-09-09,Maze Runner: The Scorch Trials,6.5,3148.0
0.055054,2016-05-17,2016-05-17,The Ghost and the Whale,0.0,0.0
3.448294,2015-02-19,2015-02-19,Marvellous,7.3,38.0
28.224212,2015-01-29,2015-01-29,Kingsman: The Secret Service,7.6,6069.0
30.206365,2015-03-04,2015-03-04,Chappie,6.6,3124.0
14.932368,2015-01-13,2015-01-13,Blackhat,5.1,842.0
0.566619,2015-01-01,2015-01-01,Beck 27 - Rum 302,6.4,7.0
30.188198,2015-06-23,2015-06-23,Terminator Genisys,5.8,3677.0
20.359336,2015-02-04,2015-02-04,It Follows,6.6,1894.0
0.956873,2015-01-10,2015-01-10,Beck 28 - Familjen,6.3,9.0
29.36178,2015-05-13,2015-05-13,Mad Max: Fury Road,7.3,9629.0
10.098792,2015-06-04,2015-06-04,Insidious: Chapter 3,6.3,1005.0
31.626013,2015-12-15,2015-12-15,Star Wars: The Force Awakens,7.5,7993.0
11.51021,2016-08-17,2016-08-17,Ben-Hur,5.3,642.0
12.572718,2016-05-25,2016-05-25,Warcraft,6.3,2325.0
37.37942,2015-04-22,2015-04-22,Avengers: Age of Ultron,7.3,6908.0
6.020055,2020-12-16,2020-12-16,Avatar 2,0.0,58.0
133.82782,2017-05-23,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,2814.0
25.944629,2017-11-15,2017-11-15,Justice League,0.0,0.0
26.882388,2015-07-14,2015-07-14,Ant-Man,7.0,6029.0
17.246484,2015-08-05,2015-08-05,Fantastic Four,4.4,2322.0
187.860492,2016-02-09,2016-02-09,Deadpool,7.4,11444.0
57.283628,2017-10-25,2017-10-25,Thor: Ragnarok,0.0,0.0
185.330992,2017-04-19,2017-04-19,Guardians of the Galaxy Vol. 2,7.6,4858.0
145.882135,2016-04-27,2016-04-27,Captain America: Civil War,7.1,7462.0
43.847654,2016-10-25,2016-10-25,Doctor Strange,7.1,5880.0
28.712522,2016-05-18,2016-05-18,X-Men: Apocalypse,6.4,4831.0
6.012379,2015-01-27,2015-01-27,Justice League: Throne of Atlantis,6.5,222.0
3.514786,2015-02-03,2015-02-03,Richard Pryor: Omit the Logic,7.0,20.0
10.241861,2015-01-21,2015-01-21,Mortdecai,5.4,1078.0
33.068431,2015-02-11,2015-02-11,Fifty Shades of Grey,5.2,3350.0
10.192407,2015-01-23,2015-01-23,Strange Magic,6.2,105.0
8.592449,2015-02-20,2015-02-20,The DUFF,6.8,1372.0
13.145621,2015-01-23,2015-01-23,Everly,5.2,231.0
9.363482,2015-01-29,2015-01-29,Project Almanac,6.4,953.0
2.515629,2015-01-27,2015-01-27,Louis C.K.: Live at The Comedy Store,7.4,58.0
7.991613,2015-10-20,2015-10-20,Brooklyn,7.2,1235.0
4.335659,2015-08-21,2015-08-21,Digging for Fire,5.2,51.0
2.789838,2015-12-01,2015-12-01,Don Verdean,4.1,44.0
9.201378,2015-07-31,2015-07-31,The End of the Tour,7.3,210.0
5.112935,2015-10-16,2015-10-16,Experimenter,6.8,166.0
9.565297,2015-01-29,2015-01-29,I Am Michael,6.2,45.0
7.283158,2015-07-31,2015-07-31,Lila & Eve,5.4,107.0
6.641951,2016-05-13,2016-05-13,Last Days in the Desert,4.4,46.0
4.958676,2015-05-15,2015-05-15,I'll See You in My Dreams,6.3,51.0
0.339331,2015-01-30,2015-01-30,Seoul Searching,6.4,4.0
6.054981,2015-07-04,2015-07-04,Mississippi Grind,5.9,137.0
6.969947,2015-08-14,2015-08-14,Mistress America,6.4,200.0
4.711535,2015-08-28,2015-08-28,Zipper,5.6,61.0
12.019571,2015-09-02,2015-09-02,A Walk in the Woods,5.7,266.0
7.87202,2015-04-17,2015-04-17,True Story,6.2,536.0
9.036787,2015-08-14,2015-08-14,Ten Thousand Saints,6.0,63.0
8.844452,2015-06-26,2015-06-26,Sleeping with Other People,6.2,309.0
0.132716,2015-01-23,2015-01-23,Beaver Trilogy Part IV,8.0,3.0
1.61917,2015-01-25,2015-01-25,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,6.8,18.0
6.516131,2015-03-23,2015-03-23,Cobain: Montage of Heck,7.5,284.0
2.408677,2015-02-27,2015-02-27,The Hunting Ground,7.6,55.0
1.485347,2015-06-26,2015-06-26,Fresh Dressed,6.6,14.0
5.887113,2015-01-25,2015-01-25,Going Clear: Scientology and the Prison of Belief,7.7,306.0
1.250498,2015-01-01,2015-01-01,The Mask You Live In,8.7,21.0
1.348402,2015-08-01,2015-08-01,Prophet's Prey,7.3,13.0
2.932138,2015-04-23,2015-04-23,Tig,7.3,34.0
0.079336,2015-01-23,2015-01-23,In Football We Trust,5.0,1.0
0.18307,2015-01-01,2015-01-01,Most Likely to Succeed,8.5,4.0
4.507082,2015-01-22,2015-01-22,"What Happened, Miss Simone?",7.7,111.0
3.436595,2015-06-23,2015-06-23,Advantageous,6.4,46.0
5.353826,2016-01-22,2016-01-22,The Bronze,5.5,112.0
3.993759,2015-05-08,2015-05-08,The D Train,4.5,79.0
14.986654,2015-08-07,2015-08-07,The Diary of a Teenage Girl,6.8,286.0
7.948581,2015-06-19,2015-06-19,Dope,7.2,698.0
4.680849,2015-10-23,2015-10-23,I Smile Back,5.6,44.0
12.503333,2015-06-12,2015-06-12,Me and Earl and the Dying Girl,7.7,962.0
7.834161,2015-06-19,2015-06-19,The Overnight,6.1,131.0
3.094082,2015-08-14,2015-08-14,"People, Places, Things",6.8,63.0
3.967229,2015-05-29,2015-05-29,Results,5.2,66.0
0.924161,2015-01-27,2015-01-27,Songs My Brothers Taught Me,6.7,9.0
4.833182,2015-07-17,2015-07-17,The Stanford Prison Experiment,6.8,254.0
6.173635,2015-01-22,2015-01-22,"Stockholm, Pennsylvania",5.4,30.0
4.135614,2015-07-24,2015-07-24,Unexpected,5.8,37.0
5.30588,2015-08-13,2015-08-13,Z for Zachariah,5.6,278.0
3.092455,2015-10-07,2015-10-07,The Forbidden Room,6.4,29.0
19.236571,2015-01-16,2015-01-16,Vice,4.1,245.0
0.803469,2015-01-09,2015-01-09,A Grain of Truth,8.0,5.0
6.640704,2015-04-08,2015-04-08,Lost River,5.8,228.0
0.957362,2015-11-12,2015-11-12,Chuck Norris vs Communism,7.1,18.0
3.782108,2015-01-29,2015-01-29,Italiano medio,6.0,142.0
20.328822,2015-12-25,2015-12-25,The Hateful Eight,7.6,4405.0
2.725411,2015-01-16,2015-01-16,Little Accidents,5.2,28.0
16.451228,2015-01-14,2015-01-14,Wild Card,5.4,665.0
9.662731,2015-06-18,2015-06-18,Paper Towns,6.1,1997.0
12.21459,2015-01-16,2015-01-16,The Wedding Ringer,6.5,632.0
1.849762,2015-01-16,2015-01-16,The Master Plan,6.6,16.0
10.200398,2015-01-23,2015-01-23,The Boy Next Door,4.1,1034.0
2.171597,2015-02-06,2015-02-06,Boy Meets Girl,7.0,36.0
6.88947,2015-02-08,2015-02-08,Knight of Cups,5.7,198.0
6.645078,2015-08-28,2015-08-28,45 Years,6.3,259.0
